"position.disgap","Type","SpeedingRate"
-195,"P85",1
-185,"P85",1
-175,"P85",1
-165,"P85",1
-155,"P85",1
-145,"P85",1
-135,"P85",1
-125,"P85",1
-115,"P85",1
-105,"P85",1
-95,"P85",1
-85,"P85",1
-75,"P85",1
-65,"P85",1
-55,"P85",1
-45,"P85",1
-35,"P85",1
-25,"P85",1
-15,"P85",1
-5,"P85",1
5,"P85",1
15,"P85",1
25,"P85",1
35,"P85",1
45,"P85",1
55,"P85",1
65,"P85",1
75,"P85",1
85,"P85",1
95,"P85",1
105,"P85",1
115,"P85",1
125,"P85",1
135,"P85",1
145,"P85",1
155,"P85",1
165,"P85",1
175,"P85",1
185,"P85",1
195,"P85",1
-195,"Median",1
-185,"Median",1
-175,"Median",1
-165,"Median",1
-155,"Median",1
-145,"Median",1
-135,"Median",1
-125,"Median",1
-115,"Median",1
-105,"Median",1
-95,"Median",1
-85,"Median",1
-75,"Median",1
-65,"Median",1
-55,"Median",1
-45,"Median",1
-35,"Median",1
-25,"Median",1
-15,"Median",1
-5,"Median",1
5,"Median",0.541666666666667
15,"Median",0.975
25,"Median",1
35,"Median",1
45,"Median",1
55,"Median",1
65,"Median",1
75,"Median",1
85,"Median",1
95,"Median",1
105,"Median",1
115,"Median",1
125,"Median",1
135,"Median",1
145,"Median",1
155,"Median",1
165,"Median",1
175,"Median",1
185,"Median",1
195,"Median",1
-195,"P25",1
-185,"P25",1
-175,"P25",1
-165,"P25",1
-155,"P25",1
-145,"P25",1
-135,"P25",1
-125,"P25",1
-115,"P25",1
-105,"P25",1
-95,"P25",1
-85,"P25",1
-75,"P25",1
-65,"P25",0.678571428571429
-55,"P25",0.25
-45,"P25",0.25
-35,"P25",0.25
-25,"P25",0.25
-15,"P25",0.25
-5,"P25",0.25
5,"P25",0.0208333333333333
15,"P25",0.2375
25,"P25",0.25
35,"P25",0.25
45,"P25",0.25
55,"P25",0.25
65,"P25",0.25
75,"P25",0.25
85,"P25",0.25
95,"P25",0.25
105,"P25",0.88
115,"P25",1
125,"P25",1
135,"P25",1
145,"P25",1
155,"P25",1
165,"P25",1
175,"P25",1
185,"P25",1
195,"P25",1
